iata,month,statcan_geo,metric,value,source_table
YYZ,2021-04-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,116349,23100312
YYZ,2021-05-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,129500,23100312
YYZ,2021-06-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,207031,23100312
YYZ,2021-07-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,483360,23100312
YYZ,2021-08-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,761748,23100312
YYZ,2021-09-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,680955,23100312
YYZ,2021-10-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,758901,23100312
YYZ,2021-11-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,759434,23100312
YYZ,2021-12-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,878895,23100312
YYZ,2022-01-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,570608,23100312
